     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.008     0.042     0.004     0.000     0.000     0.000     0.000     0.002     0.101     0.712     0.130     4.000     3.000    15.000
     0.000     0.000     1.000     0.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.108     0.018     0.030     0.038     0.040     0.040     0.023     0.048     0.231     0.054     0.198     0.173     0.000     0.000     0.000     0.000     3.000     1.000     9.000
     1.000     1.000     0.000     0.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.060     0.010     0.017     0.021     0.101     0.101     0.057     0.121     0.178     0.042     0.153     0.134     0.001     0.001     0.001     0.003     3.000     1.000     9.000
     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.024     0.000     0.001     0.000     0.889     0.031     0.049     0.000     0.000     0.000     0.000     0.000     0.006     0.000     0.000     0.000     2.000     1.000     5.000
     0.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.006     0.000     0.005     0.000     0.151     0.000     0.010     0.000     0.806     0.000     0.000     0.000     0.020     3.000     4.000    12.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.809     0.058     0.076     0.000     0.014     0.006     0.003     0.000     0.025     0.003     0.007     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000
     1.000     1.000     0.000     1.000     1.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.000     0.000     0.000     0.000     0.133     0.132     0.076     0.160     0.000     0.000     0.000     0.000     0.107     0.072     0.058     0.262     2.000     4.000     8.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.027     0.000     0.000     0.000     0.000     0.000     0.011     0.000     0.962     4.000     4.000    16.000
     1.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000     0.045     0.185     0.415     0.000     0.025     0.034     0.131     0.000     0.007     0.061     0.097     0.000     0.000     0.000     0.000     1.000     4.000     4.000
     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     0.001     0.000     0.279     0.000     0.677     0.000     0.000     0.000     0.000     0.000     0.005     0.000     0.038     2.000     4.000     8.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.921     0.005     0.025     0.000     0.016     0.001     0.001     0.000     0.028     0.000     0.002     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000
